Test,# Records,# Goods,# Bads,Fraud Rate,,,,,,,,,,,,
,25580,25041,539,0.021071149,,,,,,,,,,,,
,Bin statistics,,,,Cumulative statistics,,,,,,,,,,,
bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,256,25,231,9.765625,90.234375,256,25,231,0.099836269,42.85714286,42.75730659,0.108225108,231000,750,230250,
2,256,89,167,34.765625,65.234375,512,114,398,0.455253384,73.84044527,73.38519188,0.286432161,398000,3420,394580,
3,255,214,41,83.92156863,16.07843137,767,328,439,1.309851843,81.4471243,80.13727246,0.74715262,439000,9840,429160,
4,256,236,20,92.1875,7.8125,1023,564,459,2.252306218,85.15769944,82.90539323,1.22875817,459000,16920,442080,
5,256,240,16,93.75,6.25,1279,804,475,3.210734396,88.12615955,84.91542516,1.692631579,475000,24120,450880,
6,256,246,10,96.09375,3.90625,1535,1050,485,4.193123278,89.98144712,85.78832385,2.164948454,485000,31500,453500,
7,256,253,3,98.828125,1.171875,1791,1303,488,5.203466315,90.5380334,85.33456708,2.670081967,488000,39090,448910,
8,255,252,3,98.82352941,1.176470588,2046,1555,491,6.209815902,91.09461967,84.88480376,3.16700611,491000,46650,444350,
9,256,256,0,100,0,2302,1811,491,7.232139292,91.09461967,83.86248037,3.688391039,491000,54330,436670,
10,256,250,6,97.65625,2.34375,2558,2061,497,8.230501977,92.20779221,83.97729023,4.146881288,497000,61830,435170,
11,256,253,3,98.828125,1.171875,2814,2314,500,9.240845014,92.76437848,83.52353346,4.628,500000,69420,430580,
12,256,253,3,98.828125,1.171875,3070,2567,503,10.25118805,93.32096475,83.0697767,5.103379722,503000,77010,425990,
13,255,254,1,99.60784314,0.392156863,3325,2821,504,11.26552454,93.50649351,82.24096897,5.597222222,504000,84630,419370,
14,256,255,1,99.609375,0.390625,3581,3076,505,12.28385448,93.69202226,81.40816778,6.091089109,505000,92280,412720,
15,256,255,1,99.609375,0.390625,3837,3331,506,13.30218442,93.87755102,80.5753666,6.583003953,506000,99930,406070,
16,256,253,3,98.828125,1.171875,4093,3584,509,14.31252745,94.43413729,80.12160984,7.041257367,509000,107520,401480,
17,256,253,3,98.828125,1.171875,4349,3837,512,15.32287049,94.99072356,79.66785307,7.494140625,512000,115110,396890,
18,255,254,1,99.60784314,0.392156863,4604,4091,513,16.33720698,95.17625232,78.83904534,7.974658869,513000,122730,390270,
19,256,254,2,99.21875,0.78125,4860,4345,515,17.35154347,95.54730983,78.19576636,8.436893204,515000,130350,384650,
20,256,256,0,100,0,5116,4601,515,18.37386686,95.54730983,77.17344297,8.933980583,515000,138030,376970,
21,256,255,1,99.609375,0.390625,5372,4856,516,19.3921968,95.73283859,76.34064179,9.410852713,516000,145680,370320,
22,256,256,0,100,0,5628,5112,516,20.41452019,95.73283859,75.3183184,9.906976744,516000,153360,362640,
23,255,254,1,99.60784314,0.392156863,5883,5366,517,21.42885668,95.91836735,74.48951067,10.37911025,517000,160980,356020,
24,256,256,0,100,0,6139,5622,517,22.45118006,95.91836735,73.46718728,10.87427466,517000,168660,348340,
25,256,255,1,99.609375,0.390625,6395,5877,518,23.46951,96.1038961,72.6343861,11.34555985,518000,176310,341690,
26,256,256,0,100,0,6651,6133,518,24.49183339,96.1038961,71.61206271,11.83976834,518000,183990,334010,
27,256,255,1,99.609375,0.390625,6907,6388,519,25.51016333,96.28942486,70.77926153,12.30828516,519000,191640,327360,
28,255,254,1,99.60784314,0.392156863,7162,6642,520,26.52449982,96.47495362,69.9504538,12.77307692,520000,199260,320740,
29,256,256,0,100,0,7418,6898,520,27.54682321,96.47495362,68.92813041,13.26538462,520000,206940,313060,
30,256,255,1,99.609375,0.390625,7674,7153,521,28.56515315,96.66048237,68.09532923,13.7293666,521000,214590,306410,
31,256,256,0,100,0,7930,7409,521,29.58747654,96.66048237,67.07300584,14.22072937,521000,222270,298730,
32,256,255,1,99.609375,0.390625,8186,7664,522,30.60580648,96.84601113,66.24020465,14.68199234,522000,229920,292080,
33,255,255,0,100,0,8441,7919,522,31.62413642,96.84601113,65.22187472,15.17049808,522000,237570,284430,
34,256,254,2,99.21875,0.78125,8697,8173,524,32.6384729,97.21706865,64.57859574,15.59732824,524000,245190,278810,
35,256,256,0,100,0,8953,8429,524,33.66079629,97.21706865,63.55627235,16.08587786,524000,252870,271130,
36,256,256,0,100,0,9209,8685,524,34.68311968,97.21706865,62.53394896,16.57442748,524000,260550,263450,
37,256,254,2,99.21875,0.78125,9465,8939,526,35.69745617,97.58812616,61.89066999,16.99429658,526000,268170,257830,
38,255,255,0,100,0,9720,9194,526,36.71578611,97.58812616,60.87234005,17.47908745,526000,275820,250180,
39,256,256,0,100,0,9976,9450,526,37.7381095,97.58812616,59.85001666,17.96577947,526000,283500,242500,
40,256,256,0,100,0,10232,9706,526,38.76043289,97.58812616,58.82769327,18.45247148,526000,291180,234820,
41,256,255,1,99.609375,0.390625,10488,9961,527,39.77876283,97.77365492,57.99489209,18.90132827,527000,298830,228170,
42,256,255,1,99.609375,0.390625,10744,10216,528,40.79709277,97.95918367,57.16209091,19.34848485,528000,306480,221520,
43,255,255,0,100,0,10999,10471,528,41.81542271,97.95918367,56.14376097,19.83143939,528000,314130,213870,
44,256,254,2,99.21875,0.78125,11255,10725,530,42.82975919,98.33024119,55.50048199,20.23584906,530000,321750,208250,
45,256,256,0,100,0,11511,10981,530,43.85208258,98.33024119,54.4781586,20.71886792,530000,329430,200570,
46,256,256,0,100,0,11767,11237,530,44.87440597,98.33024119,53.45583521,21.20188679,530000,337110,192890,
47,256,256,0,100,0,12023,11493,530,45.89672936,98.33024119,52.43351182,21.68490566,530000,344790,185210,
48,255,254,1,99.60784314,0.392156863,12278,11747,531,46.91106585,98.51576994,51.60470409,22.12241055,531000,352410,178590,
49,256,255,1,99.609375,0.390625,12534,12002,532,47.92939579,98.7012987,50.77190291,22.56015038,532000,360060,171940,
50,256,256,0,100,0,12790,12258,532,48.95171918,98.7012987,49.74957952,23.04135338,532000,367740,164260,
51,256,256,0,100,0,13046,12514,532,49.97404257,98.7012987,48.72725613,23.52255639,532000,375420,156580,
52,256,256,0,100,0,13302,12770,532,50.99636596,98.7012987,47.70493274,24.0037594,532000,383100,148900,
53,255,255,0,100,0,13557,13025,532,52.0146959,98.7012987,46.6866028,24.48308271,532000,390750,141250,
54,256,256,0,100,0,13813,13281,532,53.03701929,98.7012987,45.66427941,24.96428571,532000,398430,133570,
55,256,256,0,100,0,14069,13537,532,54.05934268,98.7012987,44.64195602,25.44548872,532000,406110,125890,
56,256,255,1,99.609375,0.390625,14325,13792,533,55.07767262,98.88682746,43.80915484,25.87617261,533000,413760,119240,
57,256,256,0,100,0,14581,14048,533,56.09999601,98.88682746,42.78683145,26.3564728,533000,421440,111560,
58,255,255,0,100,0,14836,14303,533,57.11832595,98.88682746,41.76850151,26.83489681,533000,429090,103910,
59,256,256,0,100,0,15092,14559,533,58.14064934,98.88682746,40.74617812,27.315197,533000,436770,96230,
60,256,255,1,99.609375,0.390625,15348,14814,534,59.15897927,99.07235622,39.91337694,27.74157303,534000,444420,89580,
61,256,255,1,99.609375,0.390625,15604,15069,535,60.17730921,99.25788497,39.08057576,28.16635514,535000,452070,82930,
62,256,256,0,100,0,15860,15325,535,61.1996326,99.25788497,38.05825237,28.64485981,535000,459750,75250,
63,255,255,0,100,0,16115,15580,535,62.21796254,99.25788497,37.03992243,29.12149533,535000,467400,67600,
64,256,256,0,100,0,16371,15836,535,63.24028593,99.25788497,36.01759904,29.6,535000,475080,59920,
65,256,256,0,100,0,16627,16092,535,64.26260932,99.25788497,34.99527565,30.07850467,535000,482760,52240,
66,256,255,1,99.609375,0.390625,16883,16347,536,65.28093926,99.44341373,34.16247447,30.49813433,536000,490410,45590,
67,256,256,0,100,0,17139,16603,536,66.30326265,99.44341373,33.14015108,30.97574627,536000,498090,37910,
68,255,254,1,99.60784314,0.392156863,17394,16857,537,67.31759914,99.62894249,32.31134335,31.39106145,537000,505710,31290,
69,256,256,0,100,0,17650,17113,537,68.33992253,99.62894249,31.28901996,31.86778399,537000,513390,23610,
70,256,256,0,100,0,17906,17369,537,69.36224592,99.62894249,30.26669657,32.34450652,537000,521070,15930,
71,256,256,0,100,0,18162,17625,537,70.38456931,99.62894249,29.24437318,32.82122905,537000,528750,8250,
72,256,256,0,100,0,18418,17881,537,71.4068927,99.62894249,28.22204979,33.29795158,537000,536430,570,
73,255,255,0,100,0,18673,18136,537,72.42522263,99.62894249,27.20371985,33.77281192,537000,544080,-7080,
74,256,256,0,100,0,18929,18392,537,73.44754602,99.62894249,26.18139646,34.24953445,537000,551760,-14760,
75,256,256,0,100,0,19185,18648,537,74.46986941,99.62894249,25.15907307,34.72625698,537000,559440,-22440,
76,256,256,0,100,0,19441,18904,537,75.4921928,99.62894249,24.13674968,35.20297952,537000,567120,-30120,
77,256,256,0,100,0,19697,19160,537,76.51451619,99.62894249,23.11442629,35.67970205,537000,574800,-37800,
78,255,255,0,100,0,19952,19415,537,77.53284613,99.62894249,22.09609635,36.15456238,537000,582450,-45450,
79,256,256,0,100,0,20208,19671,537,78.55516952,99.62894249,21.07377296,36.63128492,537000,590130,-53130,
80,256,256,0,100,0,20464,19927,537,79.57749291,99.62894249,20.05144957,37.10800745,537000,597810,-60810,
81,256,256,0,100,0,20720,20183,537,80.5998163,99.62894249,19.02912618,37.58472998,537000,605490,-68490,
82,256,256,0,100,0,20976,20439,537,81.62213969,99.62894249,18.0068028,38.06145251,537000,613170,-76170,
83,255,255,0,100,0,21231,20694,537,82.64046963,99.62894249,16.98847286,38.53631285,537000,620820,-83820,
84,256,256,0,100,0,21487,20950,537,83.66279302,99.62894249,15.96614947,39.01303538,537000,628500,-91500,
85,256,256,0,100,0,21743,21206,537,84.68511641,99.62894249,14.94382608,39.48975791,537000,636180,-99180,
86,256,256,0,100,0,21999,21462,537,85.7074398,99.62894249,13.92150269,39.96648045,537000,643860,-106860,
87,256,256,0,100,0,22255,21718,537,86.72976319,99.62894249,12.8991793,40.44320298,537000,651540,-114540,
88,255,255,0,100,0,22510,21973,537,87.74809313,99.62894249,11.88084936,40.91806331,537000,659190,-122190,
89,256,256,0,100,0,22766,22229,537,88.77041652,99.62894249,10.85852597,41.39478585,537000,666870,-129870,
90,256,256,0,100,0,23022,22485,537,89.79273991,99.62894249,9.83620258,41.87150838,537000,674550,-137550,
91,256,256,0,100,0,23278,22741,537,90.8150633,99.62894249,8.81387919,42.34823091,537000,682230,-145230,
92,256,255,1,99.609375,0.390625,23534,22996,538,91.83339324,99.81447124,7.981078008,42.74349442,538000,689880,-151880,
93,255,255,0,100,0,23789,23251,538,92.85172317,99.81447124,6.962748069,43.21747212,538000,697530,-159530,
94,256,256,0,100,0,24045,23507,538,93.87404656,99.81447124,5.940424679,43.69330855,538000,705210,-167210,
95,256,255,1,99.609375,0.390625,24301,23762,539,94.8923765,100,5.107623497,44.08534323,539000,712860,-173860,
96,256,256,0,100,0,24557,24018,539,95.91469989,100,4.085300108,44.56029685,539000,720540,-181540,
97,256,256,0,100,0,24813,24274,539,96.93702328,100,3.062976718,45.03525046,539000,728220,-189220,
98,255,255,0,100,0,25068,24529,539,97.95535322,100,2.044646779,45.50834879,539000,735870,-196870,
99,256,256,0,100,0,25324,24785,539,98.97767661,100,1.02232339,45.98330241,539000,743550,-204550,
100,256,256,0,100,0,25580,25041,539,100,100,0,46.45825603,539000,751230,-212230,